date,id,Long,Lat,cpm,user
4/9/2020 3:55,12,-119.841789,0.190488,2418.957988, CitizenScientist
4/10/2020 0:17,24,-119.72769,0.05481,2418.093389, CitizenScientist
4/10/2020 4:59,21,-119.72769,0.05481,2339.047496, CitizenScientist
4/8/2020 19:34,10,-119.81498,0.21025,2320.767021, HSS
4/10/2020 3:37,29,-119.72769,0.05481,2289.751024, AS-2
4/10/2020 3:06,25,-119.72769,0.05481,2263.370005, CitizenScientist
4/10/2020 5:10,25,-119.72769,0.05481,2253.507041, CitizenScientist
4/8/2020 16:35,3,-119.90764,0.192607,2244.82566, CitizenScientist
4/9/2020 3:56,12,-119.841789,0.190488,2239.327729, CitizenScientist
4/9/2020 20:41,28,-119.72769,0.05481,2192.923341, AS-1
4/9/2020 21:09,45,-119.72769,0.05481,2190.00169, CitizenScientist
4/10/2020 5:15,27,-119.72769,0.05481,2179.590008, CitizenScientist
4/10/2020 0:34,24,-119.72769,0.05481,2173.428676, CitizenScientist
4/10/2020 0:51,21,-119.72769,0.05481,2165.78561, CitizenScientist
4/9/2020 23:39,29,-119.72769,0.05481,2139.77008, AS-2
4/9/2020 22:34,22,-119.72769,0.05481,2139.294445, HSS
4/9/2020 22:25,45,-119.72769,0.05481,2127.724756, CitizenScientist
4/8/2020 18:00,10,-119.81498,0.21025,2125.21513, HSS
4/10/2020 2:50,22,-119.72769,0.05481,2111.041884, HSS
4/10/2020 5:12,28,-119.72769,0.05481,2104.227737, AS-1
4/9/2020 21:40,25,-119.72769,0.05481,2089.465236, CitizenScientist
4/10/2020 3:25,45,-119.72769,0.05481,2081.010593, CitizenScientist
4/10/2020 4:35,25,-119.72769,0.05481,2076.087976, CitizenScientist
4/10/2020 1:22,28,-119.72769,0.05481,2073.561492, AS-1
4/10/2020 5:25,29,-119.72769,0.05481,2073.403042, AS-2
4/9/2020 22:38,29,-119.72769,0.05481,2065.296287, AS-2
4/10/2020 6:10,24,-119.72769,0.05481,2056.033534, CitizenScientist
4/9/2020 3:55,12,-119.841789,0.190488,2050.905674, CitizenScientist
4/10/2020 4:32,25,-119.72769,0.05481,2048.499594, CitizenScientist
4/10/2020 1:47,27,-119.72769,0.05481,2048.351904, CitizenScientist
4/10/2020 0:33,25,-119.72769,0.05481,2047.594426, CitizenScientist
4/9/2020 19:24,45,-119.727827,0.05481,2037.272391, CitizenScientist
4/10/2020 5:16,29,-119.72769,0.05481,2035.258189, AS-2
